Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Bid Strategy Type,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Ad Status,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
AZ | 1 ICBC & Car Accident,Search,Enabled,3.5,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,,,Enabled,Responsive search ad,ICBC Direct Billing Physio,$0 Out of Pocket on ICBC,We Bill ICBC Directly,Nothing to Pay Upfront,"No Referral, We Bill ICBC",Up to 25 Visits Covered,Bring Your Claim Number,Same-Week Appointments,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,Bring your claim number and we handle the billing. You focus on getting better.,"ICBC injury? Treatment is $0 out of pocket. We bill ICBC directly, no referral.","We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",icbc,direct-billing,https://azaleaphysio.com/icbc
AZ | 2 WorkSafeBC,Search,Paused,3,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,Enabled,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,worksafebc physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,worksafebc physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,workplace injury physio north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,wcb physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,worksafebc physiotherapy,Exact,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 2 WorkSafeBC,,,,,WorkSafeBC Physio,,,,,Enabled,Responsive search ad,WorkSafeBC Physiotherapy,Hurt at Work? We Can Help,We Bill WorkSafeBC Direct,WorkSafeBC Provider,Return to Work Safely,No Referral to Start,Start Recovery This Week,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,Same-Week Appointments,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,Hurt at work? We are a WorkSafeBC provider and bill them directly for your care.,"Recovery built around getting you safely back to work, at a pace that holds.","Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",worksafebc,physio,https://azaleaphysio.com/worksafebc
AZ | 3 Core Physiotherapy,Search,Paused,8,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,physiotherapist west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,physiotherapy west vancouver,Exact,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,best physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy West Vancouver,,,,,Enabled,Responsive search ad,Physiotherapy West Vancouver,Physio in West Vancouver,Treat the Cause of Pain,Registered Physiotherapists,Same-Day Treatment,Two West Vancouver Clinics,Direct Billing Available,No Referral Needed in BC,Open Until 7pm & Saturdays,Same-Week Appointments,English & Farsi Speaking,Book Online in Minutes,Rated 4.6 on Google,,,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",physiotherapy,west-van,https://azaleaphysio.com/services/physiotherapy
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,,,physiotherapy north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,,,physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,,,physiotherapist north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,,,physiotherapy north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physiotherapy North Vancouver,,,,,Enabled,Responsive search ad,North Shore Physiotherapy,Physio Near North Vancouver,Treat the Cause of Pain,Registered Physiotherapists,Same-Day Treatment,Direct Billing Available,No Referral Needed in BC,Open Until 7pm & Saturdays,Same-Week Appointments,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",physiotherapy,north-shore,https://azaleaphysio.com/services/physiotherapy
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,physiotherapist near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,physio near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,physiotherapy clinic near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,physio clinic near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,saturday physiotherapy north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,same day physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 3 Core Physiotherapy,,,,,Physio Near Me,,,,,Enabled,Responsive search ad,Physiotherapy Near You,Physio Clinic Nearby,Same-Week Appointments,Treat the Cause of Pain,Two West Vancouver Clinics,Direct Billing Available,Open Until 7pm & Saturdays,No Referral Needed in BC,English & Farsi Speaking,Book Online in Minutes,Rated 4.6 on Google,,,,,"We find the cause, not just the symptom, so relief lasts past the appointment.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",physiotherapy,book,https://azaleaphysio.com/services/physiotherapy
AZ | 4 Conditions,Search,Paused,6,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,,,back pain physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,,,back pain physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,,,neck pain treatment west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,,,lower back pain physio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Back & Neck Pain,,,,,Enabled,Responsive search ad,Back & Neck Pain Relief,Back Pain Physiotherapy,Treat the Cause of Pain,"Lasting Relief, Not a Patch",Neck Pain Treatment,Same-Week Appointments,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"Back or neck pain that will not settle? We treat what is driving it, not just the ache.","We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",back-pain,west-van,https://azaleaphysio.com/conditions/back-neck-pain
AZ | 4 Conditions,,,,,Sciatica,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sciatica,,,sciatica treatment west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sciatica,,,sciatica physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sciatica,,,sciatica pain relief,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sciatica,,,sciatic nerve pain treatment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sciatica,,,,,Enabled,Responsive search ad,Sciatica Treatment Clinic,Sciatica Pain Relief,Settle the Pain at Source,Treat the Cause of Pain,Physio for Sciatica,Same-Week Appointments,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,Sciatic pain down the leg? We trace it to the source and build a plan to settle it.,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",sciatica,west-van,https://azaleaphysio.com/conditions/sciatica
AZ | 4 Conditions,,,,,Knee Pain,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Knee Pain,,,knee pain physiotherapy north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Knee Pain,,,knee pain physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Knee Pain,,,knee injury physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Knee Pain,,,knee pain treatment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Knee Pain,,,,,Enabled,Responsive search ad,Knee Pain Physiotherapy,Knee Pain Treatment,Back to the Stairs Pain-Free,Treat the Cause of Pain,Physio for Knee Injuries,Same-Week Appointments,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"Knee pain on stairs or after sport? We assess the whole leg, not just the joint.","We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",knee-pain,west-van,https://azaleaphysio.com/conditions/knee-pain
AZ | 4 Conditions,,,,,Shoulder Pain,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Shoulder Pain,,,shoulder injury physio vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Shoulder Pain,,,shoulder pain physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Shoulder Pain,,,rotator cuff physio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Shoulder Pain,,,frozen shoulder treatment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Shoulder Pain,,,,,Enabled,Responsive search ad,Shoulder Pain Physiotherapy,Shoulder Injury Treatment,Rebuild the Movement,Treat the Cause of Pain,Rotator Cuff & Frozen Shoulder,Same-Week Appointments,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,Shoulder pain or stiffness? We diagnose the cause and rebuild the movement.,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",shoulder,west-van,https://azaleaphysio.com/conditions/shoulder-injuries
AZ | 4 Conditions,,,,,Sports Injury,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sports Injury,,,sports injury clinic north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sports Injury,,,sports physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sports Injury,,,sports injury physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sports Injury,,,sports injury clinic,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 4 Conditions,,,,,Sports Injury,,,,,Enabled,Responsive search ad,Sports Injury Physio,Sports Injury Clinic,Safe Return to Your Sport,Treat Then Rebuild Strength,West Vancouver Sports Physio,Same-Week Appointments,Treat the Cause Not Symptom,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"Sprain, strain or tear? We treat the injury then rebuild strength for a safe return.","We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",sports-injury,west-van,https://azaleaphysio.com/services/sports-injury
AZ | 5 Other Services,Search,Paused,6,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,Enabled,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,,,massage therapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,,,registered massage therapist west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,,,rmt west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,,,deep tissue massage west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Massage Therapy RMT,,,,,Enabled,Responsive search ad,Massage Therapy West Van,Registered Massage (RMT),RMT in West Vancouver,Relief for Tension & Pain,"30, 45, 60 & 90 Min",Direct Billing Available,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,Registered massage therapy for tension and pain. Direct billing to most plans.,"Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",massage,west-van,https://azaleaphysio.com/services/massage-therapy
AZ | 5 Other Services,,,,,Acupuncture,Enabled,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Acupuncture,,,acupuncture west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Acupuncture,,,acupuncturist west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Acupuncture,,,acupuncture north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Acupuncture,,,dry needling west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Acupuncture,,,,,Enabled,Responsive search ad,Acupuncture West Vancouver,Registered Acupuncture,Relief for Pain & Tension,IMS & Dry Needling,Paired With Physio,Direct Billing Available,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"Registered acupuncture for pain, tension and headaches. Often paired with physio.","Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",acupuncture,west-van,https://azaleaphysio.com/services/acupuncture
AZ | 5 Other Services,,,,,Chiropractic,Enabled,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Chiropractic,,,chiropractor west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Chiropractic,,,chiropractic west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Chiropractic,,,chiropractor north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Chiropractic,,,back pain chiropractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Chiropractic,,,,,Enabled,Responsive search ad,Chiropractor West Vancouver,Chiropractic Care,Relief for Back & Neck,Coordinated With Physio,Treat the Cause of Pain,Direct Billing Available,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,"Chiropractic care for back, neck and joint pain. Coordinated with physio in one plan.","Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",chiropractic,west-van,https://azaleaphysio.com/services/chiropractic
AZ | 5 Other Services,,,,,Kinesiology,Enabled,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Kinesiology,,,kinesiology north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Kinesiology,,,active rehab west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Kinesiology,,,kinesiologist west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Kinesiology,,,icbc active rehab,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Kinesiology,,,,,Enabled,Responsive search ad,Kinesiology & Active Rehab,Supervised Active Rehab,Rebuild Strength Safely,ICBC Active Rehab,Picks Up Where Physio Ends,Direct Billing Available,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,Active rehab to rebuild strength after injury. ICBC active rehab billed direct.,"Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",kinesiology,active-rehab,https://azaleaphysio.com/services/kinesiology
AZ | 5 Other Services,,,,,Occupational Therapy,Enabled,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Occupational Therapy,,,occupational therapy north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Occupational Therapy,,,occupational therapist west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Occupational Therapy,,,occupational therapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Occupational Therapy,,,return to work therapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 5 Other Services,,,,,Occupational Therapy,,,,,Enabled,Responsive search ad,Occupational Therapy,OT in West Vancouver,Back to Work & Daily Life,ICBC & WorkSafeBC Billed,Return-to-Work Focused,Direct Billing Available,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,Occupational therapy to get you back to work and daily life. ICBC & WSBC billed.,"Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",occupational,therapy,https://azaleaphysio.com/services/occupational-therapy
AZ | 6 Farsi & Persian,Search,Enabled,2,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),Enabled,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,persian physiotherapist vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,farsi speaking physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,iranian physiotherapist vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,persian physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,farsi physiotherapy,Broad,,,,,,,,,,,,,,,,,,,,,,,,
